order_id,order_date,product_id,product_name,category,quantity,unit_price,revenue
ORD0033148,2023-10-01,P1032,Body Lotion,Beauty & Personal Care,5,1367.63,6838.16
ORD0043193,2023-10-01,P1042,Green Tea Box,Grocery,6,1070.35,6422.08
ORD0020464,2023-10-01,P1020,Non-stick Pan,Home & Kitchen,1,3102.24,3102.24
ORD0015227,2023-10-01,P1015,Winter Jacket,Fashion,2,3524.04,7048.08
ORD0052163,2023-10-01,P1051,Dumbbell Set,Sports & Fitness,6,1897.9,11387.38
ORD0020463,2023-10-01,P1020,Non-stick Pan,Home & Kitchen,3,3202.91,9608.72
ORD0052164,2023-10-01,P1051,Dumbbell Set,Sports & Fitness,2,1873.58,3747.16
ORD0025670,2023-10-01,P1025,Bedsheet Set,Home & Kitchen,6,3716.59,22299.53
ORD0021520,2023-10-01,P1021,Electric Kettle,Home & Kitchen,13,1116.97,14520.55
ORD0058308,2023-10-01,P1057,Fitness Tracker Band,Sports & Fitness,3,4028.96,12086.89
ORD0046361,2023-10-01,P1045,Coffee Powder,Grocery,12,236.9,2842.79
ORD0057215,2023-10-01,P1056,Water Bottle,Sports & Fitness,11,4531.37,49845.03
ORD0053238,2023-10-01,P1052,Resistance Bands,Sports & Fitness,5,182.93,914.63
ORD0014143,2023-10-01,P1014,Formal Shirt,Fashion,16,636.31,10180.93
ORD0023542,2023-10-01,P1023,LED Bulb Pack,Home & Kitchen,11,1173.83,12912.18
ORD0047443,2023-10-01,P1046,Honey Jar,Grocery,13,3080.89,40051.62
ORD0013041,2023-10-01,P1013,Running Shoes,Fashion,20,144.43,2888.63
ORD0032062,2023-10-01,P1031,Shampoo,Beauty & Personal Care,5,1792.96,8964.81
ORD0006831,2023-10-01,P1007,Gaming Mouse,Electronics,2,3669.76,7339.52
ORD0000809,2023-10-01,P1001,Smartwatch,Electronics,2,3089.99,6179.99
ORD0051408,2023-10-01,P1050,Yoga Mat,Sports & Fitness,1,4688.07,4688.07
ORD0005717,2023-10-01,P1006,Webcam,Electronics,18,4116.78,74102.11
ORD0050334,2023-10-01,P1049,Oats Pack,Grocery,6,4907.28,29443.7
ORD0055243,2023-10-02,P1054,Cricket Bat,Sports & Fitness,5,2312.21,11561.06
ORD0056236,2023-10-02,P1055,Football,Sports & Fitness,11,4944.14,54385.59
ORD0051409,2023-10-02,P1050,Yoga Mat,Sports & Fitness,3,4755.07,14265.22
ORD0031005,2023-10-02,P1030,Face Wash,Beauty & Personal Care,10,585.89,5858.94
ORD0025671,2023-10-02,P1025,Bedsheet Set,Home & Kitchen,7,3728.22,26097.53
ORD0057216,2023-10-02,P1056,Water Bottle,Sports & Fitness,15,4767.85,71517.77
ORD0010994,2023-10-02,P1011,Women's Kurti,Fashion,7,4150.29,29052.06
ORD0040982,2023-10-02,P1040,Basmati Rice 5kg,Grocery,3,2756.55,8269.66
ORD0031004,2023-10-02,P1030,Face Wash,Beauty & Personal Care,12,588.38,7060.54
ORD0040981,2023-10-02,P1040,Basmati Rice 5kg,Grocery,1,3034.25,3034.25
ORD0053239,2023-10-02,P1052,Resistance Bands,Sports & Fitness,2,172.99,345.98
ORD0019477,2023-10-02,P1019,Sneakers,Fashion,7,3252.31,22766.14
ORD0048545,2023-10-02,P1047,Protein Bar Pack,Grocery,3,967.99,2903.97
ORD0046362,2023-10-02,P1045,Coffee Powder,Grocery,13,212.01,2756.11
ORD0024564,2023-10-02,P1024,Storage Containers,Home & Kitchen,1,1614.05,1614.05
ORD0013042,2023-10-02,P1013,Running Shoes,Fashion,15,154.25,2313.79
ORD0018415,2023-10-02,P1018,Backpack,Fashion,6,2840.07,17040.41
ORD0021521,2023-10-02,P1021,Electric Kettle,Home & Kitchen,13,1228.48,15970.24
ORD0018416,2023-10-02,P1018,Backpack,Fashion,7,2673.25,18712.75
ORD0050335,2023-10-02,P1049,Oats Pack,Grocery,1,4407.49,4407.49
ORD0008905,2023-10-02,P1009,LED Monitor,Electronics,7,524.65,3672.54
ORD0014144,2023-10-02,P1014,Formal Shirt,Fashion,17,602.93,10249.76
ORD0033149,2023-10-02,P1032,Body Lotion,Beauty & Personal Care,5,1336.5,6682.48
ORD0022618,2023-10-02,P1022,Mixer Grinder,Home & Kitchen,6,3369.98,20219.89
ORD0004611,2023-10-02,P1005,Laptop Stand,Electronics,3,4601.01,13803.02
ORD0054145,2023-10-02,P1053,Skipping Rope,Sports & Fitness,20,4540.75,90814.98
ORD0042072,2023-10-02,P1041,Cooking Oil 1L,Grocery,27,2340.36,63189.7
ORD0011936,2023-10-02,P1012,Denim Jeans,Fashion,5,2933.93,14669.66
ORD0043195,2023-10-02,P1042,Green Tea Box,Grocery,3,1019.29,3057.86
ORD0046363,2023-10-02,P1045,Coffee Powder,Grocery,3,236.38,709.14
ORD0026721,2023-10-02,P1026,Curtains,Home & Kitchen,3,3386.05,10158.15
ORD0026722,2023-10-02,P1026,Curtains,Home & Kitchen,1,3283.46,3283.46
ORD0060149,2023-10-02,P1059,Badminton Racket,Sports & Fitness,4,1859.13,7436.5
ORD0017322,2023-10-02,P1017,Sunglasses,Fashion,9,845.67,7610.99
ORD0024563,2023-10-02,P1024,Storage Containers,Home & Kitchen,8,1630.33,13042.62
ORD0006833,2023-10-02,P1007,Gaming Mouse,Electronics,19,3666.5,69663.48
ORD0056235,2023-10-02,P1055,Football,Sports & Fitness,3,4545.36,13636.07
ORD0017321,2023-10-02,P1017,Sunglasses,Fashion,12,891.39,10696.74
ORD0049391,2023-10-02,P1048,Peanut Butter,Grocery,3,4624.06,13872.19
ORD0059280,2023-10-02,P1058,Gym Gloves,Sports & Fitness,3,1542.31,4626.93
ORD0001702,2023-10-02,P1002,Bluetooth Speaker,Electronics,4,1834.65,7338.6
ORD0023543,2023-10-02,P1023,LED Bulb Pack,Home & Kitchen,3,1298.41,3895.24
ORD0058309,2023-10-02,P1057,Fitness Tracker Band,Sports & Fitness,3,4105.24,12315.73
ORD0045275,2023-10-02,P1044,Instant Noodles Pack,Grocery,19,1386.46,26342.72
ORD0032063,2023-10-02,P1031,Shampoo,Beauty & Personal Care,9,1853.43,16680.85
ORD0016298,2023-10-02,P1016,Leather Wallet,Fashion,1,119.05,119.05
ORD0016297,2023-10-02,P1016,Leather Wallet,Fashion,9,120.25,1082.26
ORD0027831,2023-10-02,P1027,Air Freshener,Home & Kitchen,9,4358.19,39223.67
ORD0049390,2023-10-02,P1048,Peanut Butter,Grocery,1,4727.82,4727.82
ORD0003544,2023-10-02,P1004,USB-C Cable,Electronics,9,3716.36,33447.25
ORD0029925,2023-10-02,P1029,Table Lamp,Home & Kitchen,2,2799.34,5598.67
ORD0036009,2023-10-02,P1035,Trimmer,Beauty & Personal Care,4,1945.8,7783.2
ORD0036008,2023-10-02,P1035,Trimmer,Beauty & Personal Care,2,2097.63,4195.25
ORD0039926,2023-10-02,P1039,Hair Oil,Beauty & Personal Care,1,2506.33,2506.33
ORD0039927,2023-10-02,P1039,Hair Oil,Beauty & Personal Care,9,2470.07,22230.62
ORD0038148,2023-10-02,P1037,Lip Balm,Beauty & Personal Care,12,3282.23,39386.8
ORD0028915,2023-10-02,P1028,Vacuum Cleaner,Home & Kitchen,3,3323.06,9969.19
ORD0009924,2023-10-02,P1010,Men's T-Shirt,Fashion,3,884.41,2653.23
ORD0047445,2023-10-02,P1046,Honey Jar,Grocery,5,3061.15,15305.75
ORD0047444,2023-10-02,P1046,Honey Jar,Grocery,8,3118.13,24945.06
ORD0029926,2023-10-02,P1029,Table Lamp,Home & Kitchen,2,2844.66,5689.32
ORD0015229,2023-10-02,P1015,Winter Jacket,Fashion,9,3098.07,27882.65
ORD0001703,2023-10-02,P1002,Bluetooth Speaker,Electronics,10,1805.68,18056.76
ORD0052165,2023-10-02,P1051,Dumbbell Set,Sports & Fitness,6,1941.45,11648.73
ORD0000002,2023-10-02,P1000,Wireless Earbuds,Electronics,3,4381.28,13143.83
ORD0000003,2023-10-02,P1000,Wireless Earbuds,Electronics,2,4189.54,8379.07
ORD0034086,2023-10-02,P1033,Perfume,Beauty & Personal Care,15,1195.81,17937.09
ORD0039208,2023-10-02,P1038,Face Mask Pack,Beauty & Personal Care,1,4084.62,4084.62
ORD0035042,2023-10-02,P1034,Hair Dryer,Beauty & Personal Care,12,4903.71,58844.46
ORD0037097,2023-10-02,P1036,Sunscreen,Beauty & Personal Care,3,4161.03,12483.09
ORD0015228,2023-10-02,P1015,Winter Jacket,Fashion,1,3500.83,3500.83
ORD0037098,2023-10-02,P1036,Sunscreen,Beauty & Personal Care,9,4242.52,38182.68
ORD0005718,2023-10-02,P1006,Webcam,Electronics,10,4661.0,46609.97
ORD0032064,2023-10-02,P1031,Shampoo,Beauty & Personal Care,7,1829.76,12808.32
ORD0007915,2023-10-02,P1008,Mechanical Keyboard,Electronics,6,3385.02,20310.1
ORD0023544,2023-10-02,P1023,LED Bulb Pack,Home & Kitchen,4,1230.29,4921.14
ORD0052166,2023-10-02,P1051,Dumbbell Set,Sports & Fitness,1,1789.03,1789.03
ORD0020466,2023-10-02,P1020,Non-stick Pan,Home & Kitchen,6,3289.31,19735.86
ORD0020465,2023-10-02,P1020,Non-stick Pan,Home & Kitchen,2,3416.15,6832.3
ORD0033150,2023-10-03,P1032,Body Lotion,Beauty & Personal Care,1,1398.44,1398.44
ORD0052167,2023-10-03,P1051,Dumbbell Set,Sports & Fitness,3,1799.94,5399.83
ORD0005720,2023-10-03,P1006,Webcam,Electronics,11,4445.42,48899.66
ORD0014146,2023-10-03,P1014,Formal Shirt,Fashion,6,567.09,3402.56
ORD0000004,2023-10-03,P1000,Wireless Earbuds,Electronics,5,4268.68,21343.39
ORD0021523,2023-10-03,P1021,Electric Kettle,Home & Kitchen,5,1172.52,5862.62
ORD0021522,2023-10-03,P1021,Electric Kettle,Home & Kitchen,2,1209.73,2419.45
ORD0051410,2023-10-03,P1050,Yoga Mat,Sports & Fitness,6,4756.87,28541.24
ORD0047446,2023-10-03,P1046,Honey Jar,Grocery,6,3053.2,18319.2
ORD0013043,2023-10-03,P1013,Running Shoes,Fashion,11,148.02,1628.27
ORD0015230,2023-10-03,P1015,Winter Jacket,Fashion,10,3298.48,32984.81
ORD0046364,2023-10-03,P1045,Coffee Powder,Grocery,22,210.73,4636.1
ORD0043196,2023-10-03,P1042,Green Tea Box,Grocery,8,1011.17,8089.36
ORD0057217,2023-10-03,P1056,Water Bottle,Sports & Fitness,1,4760.08,4760.08
ORD0047447,2023-10-03,P1046,Honey Jar,Grocery,8,3395.61,27164.85
ORD0009925,2023-10-03,P1010,Men's T-Shirt,Fashion,3,874.65,2623.94
ORD0002786,2023-10-03,P1003,Power Bank,Electronics,4,1702.62,6810.5
ORD0042073,2023-10-03,P1041,Cooking Oil 1L,Grocery,9,2537.48,22837.34
ORD0005719,2023-10-03,P1006,Webcam,Electronics,1,4598.39,4598.39
ORD0053240,2023-10-03,P1052,Resistance Bands,Sports & Fitness,1,172.23,172.23
ORD0050336,2023-10-03,P1049,Oats Pack,Grocery,5,4454.33,22271.64
ORD0009926,2023-10-03,P1010,Men's T-Shirt,Fashion,2,880.9,1761.8
ORD0000810,2023-10-03,P1001,Smartwatch,Electronics,6,3211.04,19266.25
ORD0025672,2023-10-03,P1025,Bedsheet Set,Home & Kitchen,10,3551.32,35513.2
ORD0031006,2023-10-03,P1030,Face Wash,Beauty & Personal Care,7,593.32,4153.26
ORD0020467,2023-10-03,P1020,Non-stick Pan,Home & Kitchen,8,3345.53,26764.24
ORD0059281,2023-10-03,P1058,Gym Gloves,Sports & Fitness,2,1451.54,2903.08
ORD0058310,2023-10-03,P1057,Fitness Tracker Band,Sports & Fitness,5,3950.87,19754.33
ORD0043197,2023-10-03,P1042,Green Tea Box,Grocery,2,1009.11,2018.23
ORD0014145,2023-10-03,P1014,Formal Shirt,Fashion,1,637.21,637.21
ORD0038149,2023-10-03,P1037,Lip Balm,Beauty & Personal Care,6,2949.99,17699.91
ORD0048546,2023-10-03,P1047,Protein Bar Pack,Grocery,3,924.18,2772.54
ORD0024565,2023-10-03,P1024,Storage Containers,Home & Kitchen,4,1565.93,6263.72
ORD0029927,2023-10-03,P1029,Table Lamp,Home & Kitchen,4,3006.84,12027.35
ORD0029928,2023-10-03,P1029,Table Lamp,Home & Kitchen,5,2749.5,13747.48
ORD0003546,2023-10-03,P1004,USB-C Cable,Electronics,1,3383.65,3383.65
ORD0037100,2023-10-03,P1036,Sunscreen,Beauty & Personal Care,8,4431.6,35452.81
ORD0055244,2023-10-03,P1054,Cricket Bat,Sports & Fitness,7,2265.31,15857.15
ORD0032065,2023-10-03,P1031,Shampoo,Beauty & Personal Care,20,1763.15,35262.98
ORD0007917,2023-10-03,P1008,Mechanical Keyboard,Electronics,1,3209.47,3209.47
ORD0007916,2023-10-03,P1008,Mechanical Keyboard,Electronics,4,2994.75,11979.01
ORD0023545,2023-10-03,P1023,LED Bulb Pack,Home & Kitchen,6,1253.39,7520.33
ORD0019478,2023-10-03,P1019,Sneakers,Fashion,5,3368.15,16840.74
ORD0037099,2023-10-03,P1036,Sunscreen,Beauty & Personal Care,1,4230.48,4230.48
ORD0040984,2023-10-03,P1040,Basmati Rice 5kg,Grocery,8,2734.85,21878.79
ORD0040983,2023-10-03,P1040,Basmati Rice 5kg,Grocery,1,3057.48,3057.48
ORD0035043,2023-10-03,P1034,Hair Dryer,Beauty & Personal Care,2,4939.07,9878.14
ORD0039209,2023-10-03,P1038,Face Mask Pack,Beauty & Personal Care,3,3837.33,11511.98
ORD0010995,2023-10-03,P1011,Women's Kurti,Fashion,12,4665.72,55988.6
ORD0034087,2023-10-03,P1033,Perfume,Beauty & Personal Care,1,1210.21,1210.21
ORD0056237,2023-10-03,P1055,Football,Sports & Fitness,10,4735.4,47353.97
ORD0038150,2023-10-03,P1037,Lip Balm,Beauty & Personal Care,1,3019.31,3019.31
ORD0019479,2023-10-03,P1019,Sneakers,Fashion,1,3471.25,3471.25
ORD0003545,2023-10-03,P1004,USB-C Cable,Electronics,3,3656.03,10968.09
ORD0024566,2023-10-03,P1024,Storage Containers,Home & Kitchen,9,1775.78,15982.04
ORD0045277,2023-10-03,P1044,Instant Noodles Pack,Grocery,14,1374.8,19247.26
ORD0023546,2023-10-03,P1023,LED Bulb Pack,Home & Kitchen,1,1252.09,1252.09
ORD0044259,2023-10-03,P1043,Almonds 500g,Grocery,3,3568.27,10704.8
ORD0054146,2023-10-03,P1053,Skipping Rope,Sports & Fitness,13,4407.42,57296.4
ORD0018417,2023-10-03,P1018,Backpack,Fashion,3,2755.96,8267.88
ORD0028916,2023-10-03,P1028,Vacuum Cleaner,Home & Kitchen,2,3471.56,6943.11
ORD0008906,2023-10-03,P1009,LED Monitor,Electronics,11,496.99,5466.85
ORD0036010,2023-10-03,P1035,Trimmer,Beauty & Personal Care,2,1934.21,3868.42
ORD0022619,2023-10-03,P1022,Mixer Grinder,Home & Kitchen,6,3462.83,20776.98
ORD0022620,2023-10-03,P1022,Mixer Grinder,Home & Kitchen,1,3572.19,3572.19
ORD0027833,2023-10-03,P1027,Air Freshener,Home & Kitchen,6,4234.35,25406.12
ORD0001704,2023-10-03,P1002,Bluetooth Speaker,Electronics,4,1640.41,6561.63
ORD0017323,2023-10-03,P1017,Sunglasses,Fashion,32,890.36,28491.6
ORD0011937,2023-10-03,P1012,Denim Jeans,Fashion,9,2915.49,26239.38
ORD0026723,2023-10-03,P1026,Curtains,Home & Kitchen,11,3192.1,35113.13
ORD0026724,2023-10-03,P1026,Curtains,Home & Kitchen,1,3408.08,3408.08
ORD0016299,2023-10-03,P1016,Leather Wallet,Fashion,9,127.23,1145.03
ORD0045276,2023-10-03,P1044,Instant Noodles Pack,Grocery,6,1538.0,9227.99
ORD0060150,2023-10-03,P1059,Badminton Racket,Sports & Fitness,4,2007.37,8029.49
ORD0060151,2023-10-03,P1059,Badminton Racket,Sports & Fitness,3,2007.61,6022.84
ORD0006834,2023-10-03,P1007,Gaming Mouse,Electronics,12,3799.36,45592.29
ORD0004612,2023-10-03,P1005,Laptop Stand,Electronics,16,4267.64,68282.28
ORD0027832,2023-10-03,P1027,Air Freshener,Home & Kitchen,11,4419.77,48617.49
ORD0039928,2023-10-03,P1039,Hair Oil,Beauty & Personal Care,7,2398.96,16792.73
ORD0006835,2023-10-04,P1007,Gaming Mouse,Electronics,3,4099.44,12298.31
ORD0010996,2023-10-04,P1011,Women's Kurti,Fashion,1,4424.12,4424.12
ORD0010997,2023-10-04,P1011,Women's Kurti,Fashion,3,4242.86,12728.57
ORD0055246,2023-10-04,P1054,Cricket Bat,Sports & Fitness,3,2135.62,6406.86
ORD0031008,2023-10-04,P1030,Face Wash,Beauty & Personal Care,10,541.87,5418.68
ORD0020468,2023-10-04,P1020,Non-stick Pan,Home & Kitchen,5,3301.87,16509.35
ORD0049392,2023-10-04,P1048,Peanut Butter,Grocery,4,4673.48,18693.92
ORD0049393,2023-10-04,P1048,Peanut Butter,Grocery,3,4840.31,14520.93
ORD0058311,2023-10-04,P1057,Fitness Tracker Band,Sports & Fitness,3,4313.0,12939.01
ORD0058312,2023-10-04,P1057,Fitness Tracker Band,Sports & Fitness,2,4270.33,8540.67
ORD0009927,2023-10-04,P1010,Men's T-Shirt,Fashion,4,873.34,3493.35
ORD0044260,2023-10-04,P1043,Almonds 500g,Grocery,7,3721.14,26047.96
ORD0028917,2023-10-04,P1028,Vacuum Cleaner,Home & Kitchen,1,3393.8,3393.8
ORD0027834,2023-10-04,P1027,Air Freshener,Home & Kitchen,22,4128.87,90835.09
ORD0045278,2023-10-04,P1044,Instant Noodles Pack,Grocery,14,1525.81,21361.39
ORD0029929,2023-10-04,P1029,Table Lamp,Home & Kitchen,2,2846.79,5693.59
ORD0029930,2023-10-04,P1029,Table Lamp,Home & Kitchen,5,2838.44,14192.21
ORD0037101,2023-10-04,P1036,Sunscreen,Beauty & Personal Care,14,4553.12,63743.73
ORD0057218,2023-10-04,P1056,Water Bottle,Sports & Fitness,20,4821.24,96424.78
ORD0039210,2023-10-04,P1038,Face Mask Pack,Beauty & Personal Care,1,4052.09,4052.09
ORD0019480,2023-10-04,P1019,Sneakers,Fashion,6,3231.67,19390.04
ORD0055245,2023-10-04,P1054,Cricket Bat,Sports & Fitness,1,2119.75,2119.75
ORD0004614,2023-10-04,P1005,Laptop Stand,Electronics,5,4676.91,23384.57
ORD0004613,2023-10-04,P1005,Laptop Stand,Electronics,10,4417.57,44175.72
ORD0026725,2023-10-04,P1026,Curtains,Home & Kitchen,14,3221.15,45096.1
ORD0018418,2023-10-04,P1018,Backpack,Fashion,2,2695.88,5391.76
ORD0048547,2023-10-04,P1047,Protein Bar Pack,Grocery,6,974.22,5845.29
ORD0021524,2023-10-04,P1021,Electric Kettle,Home & Kitchen,6,1233.93,7403.61
ORD0050337,2023-10-04,P1049,Oats Pack,Grocery,7,4854.54,33981.75
ORD0000811,2023-10-04,P1001,Smartwatch,Electronics,6,3260.9,19565.41
ORD0000812,2023-10-04,P1001,Smartwatch,Electronics,2,3246.78,6493.55
ORD0043198,2023-10-04,P1042,Green Tea Box,Grocery,5,1001.26,5006.32
ORD0031007,2023-10-04,P1030,Face Wash,Beauty & Personal Care,4,578.18,2312.74
ORD0038151,2023-10-04,P1037,Lip Balm,Beauty & Personal Care,8,3019.84,24158.71
ORD0032066,2023-10-04,P1031,Shampoo,Beauty & Personal Care,1,1759.56,1759.56
ORD0059282,2023-10-04,P1058,Gym Gloves,Sports & Fitness,2,1593.23,3186.46
ORD0005721,2023-10-04,P1006,Webcam,Electronics,18,4595.65,82721.79
ORD0051411,2023-10-04,P1050,Yoga Mat,Sports & Fitness,1,4776.55,4776.55
ORD0036012,2023-10-04,P1035,Trimmer,Beauty & Personal Care,6,1983.26,11899.59
ORD0001705,2023-10-04,P1002,Bluetooth Speaker,Electronics,9,1707.66,15368.92
ORD0016300,2023-10-04,P1016,Leather Wallet,Fashion,12,119.86,1438.27
ORD0042074,2023-10-04,P1041,Cooking Oil 1L,Grocery,43,2590.91,111409.27
ORD0025673,2023-10-04,P1025,Bedsheet Set,Home & Kitchen,12,3770.28,45243.35
ORD0046365,2023-10-04,P1045,Coffee Powder,Grocery,10,212.99,2129.86
ORD0046366,2023-10-04,P1045,Coffee Powder,Grocery,1,212.42,212.42
ORD0033151,2023-10-04,P1032,Body Lotion,Beauty & Personal Care,3,1334.72,4004.15
ORD0007919,2023-10-04,P1008,Mechanical Keyboard,Electronics,1,3395.71,3395.71
ORD0007918,2023-10-04,P1008,Mechanical Keyboard,Electronics,6,3262.86,19577.15
ORD0035044,2023-10-04,P1034,Hair Dryer,Beauty & Personal Care,12,4571.24,54854.85
ORD0034088,2023-10-04,P1033,Perfume,Beauty & Personal Care,12,1249.27,14991.27
ORD0056239,2023-10-04,P1055,Football,Sports & Fitness,4,4633.51,18534.03
ORD0056238,2023-10-04,P1055,Football,Sports & Fitness,12,4702.55,56430.6
ORD0040985,2023-10-04,P1040,Basmati Rice 5kg,Grocery,8,2985.26,23882.07
ORD0002787,2023-10-04,P1003,Power Bank,Electronics,1,1877.56,1877.56
ORD0032067,2023-10-04,P1031,Shampoo,Beauty & Personal Care,7,1796.97,12578.8
ORD0024567,2023-10-04,P1024,Storage Containers,Home & Kitchen,18,1749.37,31488.69
ORD0013044,2023-10-04,P1013,Running Shoes,Fashion,22,139.71,3073.72
ORD0060152,2023-10-04,P1059,Badminton Racket,Sports & Fitness,8,1981.92,15855.38
ORD0011939,2023-10-04,P1012,Denim Jeans,Fashion,10,3125.99,31259.92
ORD0011938,2023-10-04,P1012,Denim Jeans,Fashion,2,2977.0,5954.01
ORD0022621,2023-10-04,P1022,Mixer Grinder,Home & Kitchen,4,3544.27,14177.09
ORD0008907,2023-10-04,P1009,LED Monitor,Electronics,1,499.99,499.99
ORD0054148,2023-10-04,P1053,Skipping Rope,Sports & Fitness,4,4380.84,17523.34
ORD0054147,2023-10-04,P1053,Skipping Rope,Sports & Fitness,19,4457.43,84691.17
ORD0036011,2023-10-04,P1035,Trimmer,Beauty & Personal Care,2,2134.92,4269.85
ORD0014147,2023-10-04,P1014,Formal Shirt,Fashion,5,577.02,2885.09
ORD0008908,2023-10-04,P1009,LED Monitor,Electronics,5,485.53,2427.66
ORD0015231,2023-10-04,P1015,Winter Jacket,Fashion,3,3400.73,10202.2
ORD0017324,2023-10-04,P1017,Sunglasses,Fashion,17,920.51,15648.73
ORD0039929,2023-10-04,P1039,Hair Oil,Beauty & Personal Care,9,2592.95,23336.51
ORD0047449,2023-10-04,P1046,Honey Jar,Grocery,15,3289.14,49337.13
ORD0047448,2023-10-04,P1046,Honey Jar,Grocery,11,3334.48,36679.26
ORD0000005,2023-10-04,P1000,Wireless Earbuds,Electronics,2,4284.57,8569.14
ORD0000006,2023-10-04,P1000,Wireless Earbuds,Electronics,2,4417.48,8834.96
