month,product_id,product_name,category,demand,revenue,number_of_orders
2023-11-01,P1039,Hair Oil,Beauty & Personal Care,319,817110.25,44
2023-11-01,P1040,Basmati Rice 5kg,Grocery,297,859416.61,40
2023-11-01,P1041,Cooking Oil 1L,Grocery,1138,2819340.13,46
2023-11-01,P1042,Green Tea Box,Grocery,272,283170.45,40
2023-11-01,P1043,Almonds 500g,Grocery,365,1331180.68,39
2023-11-01,P1044,Instant Noodles Pack,Grocery,533,771936.86,42
2023-11-01,P1045,Coffee Powder,Grocery,437,99700.45,46
2023-11-01,P1046,Honey Jar,Grocery,645,2061607.17,41
2023-11-01,P1047,Protein Bar Pack,Grocery,86,85081.73999999999,31
2023-11-01,P1048,Peanut Butter,Grocery,141,654964.8300000001,38
2023-11-01,P1049,Oats Pack,Grocery,209,978182.13,42
2023-11-01,P1050,Yoga Mat,Sports & Fitness,110,503380.55,29
2023-11-01,P1051,Dumbbell Set,Sports & Fitness,233,438898.9,45
2023-11-01,P1052,Resistance Bands,Sports & Fitness,168,29552.01,41
2023-11-01,P1053,Skipping Rope,Sports & Fitness,509,2347974.94,39
2023-11-01,P1054,Cricket Bat,Sports & Fitness,154,338494.45,39
2023-11-01,P1055,Football,Sports & Fitness,239,1138112.34,38
2023-11-01,P1056,Water Bottle,Sports & Fitness,466,2196765.56,46
2023-11-01,P1057,Fitness Tracker Band,Sports & Fitness,153,660934.19,38
2023-11-01,P1058,Gym Gloves,Sports & Fitness,102,156432.99,32
2023-11-01,P1059,Badminton Racket,Sports & Fitness,326,640356.68,44
2023-12-01,P1000,Wireless Earbuds,Electronics,102,455593.82,36
2023-12-01,P1001,Smartwatch,Electronics,176,561724.56,32
2023-12-01,P1002,Bluetooth Speaker,Electronics,290,504023.37,50
2023-12-01,P1003,Power Bank,Electronics,96,172489.89,33
2023-12-01,P1004,USB-C Cable,Electronics,231,833263.71,39
2023-12-01,P1005,Laptop Stand,Electronics,430,1905034.65,42
2023-12-01,P1006,Webcam,Electronics,537,2333760.1,47
2023-12-01,P1007,Gaming Mouse,Electronics,400,1569920.6,46
2023-12-01,P1008,Mechanical Keyboard,Electronics,176,556436.2,42
2023-12-01,P1009,LED Monitor,Electronics,226,115886.65,37
2023-12-01,P1010,Men's T-Shirt,Fashion,264,232905.09,46
2023-12-01,P1011,Women's Kurti,Fashion,248,1106440.15,40
2023-12-01,P1012,Denim Jeans,Fashion,393,1202042.39,47
2023-12-01,P1013,Running Shoes,Fashion,689,101907.84,48
2023-12-01,P1014,Formal Shirt,Fashion,400,241165.72999999998,51
2023-12-01,P1015,Winter Jacket,Fashion,237,786645.33,43
2023-12-01,P1016,Leather Wallet,Fashion,275,34811.37,43
2023-12-01,P1017,Sunglasses,Fashion,717,628536.01,43
2023-12-01,P1018,Backpack,Fashion,358,986072.9299999999,45
2023-12-01,P1019,Sneakers,Fashion,242,817397.22,39
2023-12-01,P1020,Non-stick Pan,Home & Kitchen,296,952018.6499999999,44
2023-12-01,P1021,Electric Kettle,Home & Kitchen,423,508935.66,46
2023-12-01,P1022,Mixer Grinder,Home & Kitchen,196,694989.61,42
2023-12-01,P1023,LED Bulb Pack,Home & Kitchen,261,329330.94,50
2023-12-01,P1024,Storage Containers,Home & Kitchen,524,869988.14,46
2023-12-01,P1025,Bedsheet Set,Home & Kitchen,326,1219010.03,44
2023-12-01,P1026,Curtains,Home & Kitchen,367,1183157.92,46
2023-12-01,P1027,Air Freshener,Home & Kitchen,582,2443954.85,43
2023-12-01,P1028,Vacuum Cleaner,Home & Kitchen,208,679319.03,44
2023-12-01,P1029,Table Lamp,Home & Kitchen,238,677998.26,47
2023-12-01,P1030,Face Wash,Beauty & Personal Care,355,199852.86000000002,41
2023-12-01,P1031,Shampoo,Beauty & Personal Care,360,673659.56,41
2023-12-01,P1032,Body Lotion,Beauty & Personal Care,106,146296.52,36
2023-12-01,P1033,Perfume,Beauty & Personal Care,202,257201.91,39
2023-12-01,P1034,Hair Dryer,Beauty & Personal Care,280,1334333.9000000001,45
2023-12-01,P1035,Trimmer,Beauty & Personal Care,314,634147.12,44
2023-12-01,P1036,Sunscreen,Beauty & Personal Care,394,1744783.39,45
2023-12-01,P1037,Lip Balm,Beauty & Personal Care,337,1054076.42,46
2023-12-01,P1038,Face Mask Pack,Beauty & Personal Care,82,322498.4,28
2023-12-01,P1039,Hair Oil,Beauty & Personal Care,341,872074.87,46
2023-12-01,P1040,Basmati Rice 5kg,Grocery,358,1045310.33,45
2023-12-01,P1041,Cooking Oil 1L,Grocery,1191,2966735.92,51
2023-12-01,P1042,Green Tea Box,Grocery,306,324380.74,42
2023-12-01,P1043,Almonds 500g,Grocery,367,1308161.09,46
2023-12-01,P1044,Instant Noodles Pack,Grocery,669,974794.48,47
2023-12-01,P1045,Coffee Powder,Grocery,414,93697.39,48
2023-12-01,P1046,Honey Jar,Grocery,636,2046143.54,50
2023-12-01,P1047,Protein Bar Pack,Grocery,126,120339.86,36
2023-12-01,P1048,Peanut Butter,Grocery,123,570572.67,35
2023-12-01,P1049,Oats Pack,Grocery,228,1066289.26,45
2023-12-01,P1050,Yoga Mat,Sports & Fitness,100,449639.69,34
2023-12-01,P1051,Dumbbell Set,Sports & Fitness,219,410412.8,42
2023-12-01,P1052,Resistance Bands,Sports & Fitness,170,29815.88,38
2023-12-01,P1053,Skipping Rope,Sports & Fitness,684,3159152.03,53
2023-12-01,P1054,Cricket Bat,Sports & Fitness,182,395647.37,40
2023-12-01,P1055,Football,Sports & Fitness,244,1174266.62,41
2023-12-01,P1056,Water Bottle,Sports & Fitness,602,2840493.96,52
2023-12-01,P1057,Fitness Tracker Band,Sports & Fitness,111,468628.44,37
2023-12-01,P1058,Gym Gloves,Sports & Fitness,99,150863.43,34
2023-12-01,P1059,Badminton Racket,Sports & Fitness,340,660963.76,44
2024-01-01,P1000,Wireless Earbuds,Electronics,101,445623.84,34
2024-01-01,P1001,Smartwatch,Electronics,193,605702.83,42
2024-01-01,P1002,Bluetooth Speaker,Electronics,312,543009.14,45
2024-01-01,P1003,Power Bank,Electronics,105,186159.92,36
2024-01-01,P1004,USB-C Cable,Electronics,188,672880.9,46
2024-01-01,P1005,Laptop Stand,Electronics,446,1986539.24,50
2024-01-01,P1006,Webcam,Electronics,619,2744994.75,48
2024-01-01,P1007,Gaming Mouse,Electronics,421,1604247.72,49
2024-01-01,P1008,Mechanical Keyboard,Electronics,168,540139.59,39
2024-01-01,P1009,LED Monitor,Electronics,201,102549.62,44
2024-01-01,P1010,Men's T-Shirt,Fashion,250,220537.02,43
2024-01-01,P1011,Women's Kurti,Fashion,208,925634.36,36
2024-01-01,P1012,Denim Jeans,Fashion,348,1055724.54,46
2024-01-01,P1013,Running Shoes,Fashion,560,82519.11,51
2024-01-01,P1014,Formal Shirt,Fashion,387,231879.71,47
2024-01-01,P1015,Winter Jacket,Fashion,183,603593.32,39
2024-01-01,P1016,Leather Wallet,Fashion,244,31227.6,46
2024-01-01,P1017,Sunglasses,Fashion,742,651233.92,47
2024-01-01,P1018,Backpack,Fashion,265,725777.83,48
2024-01-01,P1019,Sneakers,Fashion,209,719594.42,45
2024-01-01,P1020,Non-stick Pan,Home & Kitchen,240,783719.25,43
2024-01-01,P1021,Electric Kettle,Home & Kitchen,419,496195.55,50
2024-01-01,P1022,Mixer Grinder,Home & Kitchen,156,556330.84,43
2024-01-01,P1023,LED Bulb Pack,Home & Kitchen,165,206758.08,36
2024-01-01,P1024,Storage Containers,Home & Kitchen,501,840523.13,47
2024-01-01,P1025,Bedsheet Set,Home & Kitchen,318,1166532.05,44
2024-01-01,P1026,Curtains,Home & Kitchen,336,1096586.52,42
2024-01-01,P1027,Air Freshener,Home & Kitchen,532,2268423.39,46
2024-01-01,P1028,Vacuum Cleaner,Home & Kitchen,178,580871.43,41
2024-01-01,P1029,Table Lamp,Home & Kitchen,251,712753.65,47
2024-01-01,P1030,Face Wash,Beauty & Personal Care,322,179739.65,41
2024-01-01,P1031,Shampoo,Beauty & Personal Care,356,665447.4,47
2024-01-01,P1032,Body Lotion,Beauty & Personal Care,113,155735.4,32
2024-01-01,P1033,Perfume,Beauty & Personal Care,237,305069.41,42
2024-01-01,P1034,Hair Dryer,Beauty & Personal Care,271,1318666.24,37
2024-01-01,P1035,Trimmer,Beauty & Personal Care,337,667026.28,39
2024-01-01,P1036,Sunscreen,Beauty & Personal Care,286,1270751.1,43
2024-01-01,P1037,Lip Balm,Beauty & Personal Care,304,953967.0700000001,43
2024-01-01,P1038,Face Mask Pack,Beauty & Personal Care,82,329397.19,29
2024-01-01,P1039,Hair Oil,Beauty & Personal Care,261,655902.05,45
2024-01-01,P1040,Basmati Rice 5kg,Grocery,305,876745.55,48
2024-01-01,P1041,Cooking Oil 1L,Grocery,1087,2701552.47,47
2024-01-01,P1042,Green Tea Box,Grocery,311,326331.51,44
2024-01-01,P1043,Almonds 500g,Grocery,447,1616922.68,43
2024-01-01,P1044,Instant Noodles Pack,Grocery,566,824593.48,48
2024-01-01,P1045,Coffee Powder,Grocery,447,100664.81,46
2024-01-01,P1046,Honey Jar,Grocery,615,1970016.98,46
2024-01-01,P1047,Protein Bar Pack,Grocery,105,102017.85,38
2024-01-01,P1048,Peanut Butter,Grocery,135,622601.03,35
2024-01-01,P1049,Oats Pack,Grocery,235,1105781.7,40
2024-01-01,P1050,Yoga Mat,Sports & Fitness,85,381228.09,33
2024-01-01,P1051,Dumbbell Set,Sports & Fitness,265,502106.69,45
2024-01-01,P1052,Resistance Bands,Sports & Fitness,161,28240.27,37
2024-01-01,P1053,Skipping Rope,Sports & Fitness,564,2582792.44,47
2024-01-01,P1054,Cricket Bat,Sports & Fitness,157,340555.43,40
2024-01-01,P1055,Football,Sports & Fitness,220,1060117.88,41
2024-01-01,P1056,Water Bottle,Sports & Fitness,533,2527979.63,47
2024-01-01,P1057,Fitness Tracker Band,Sports & Fitness,141,592825.06,39
2024-01-01,P1058,Gym Gloves,Sports & Fitness,80,122330.78,29
2024-01-01,P1059,Badminton Racket,Sports & Fitness,292,573956.6799999999,42
2024-02-01,P1000,Wireless Earbuds,Electronics,99,438843.91,34
2024-02-01,P1001,Smartwatch,Electronics,151,475263.52,36
2024-02-01,P1002,Bluetooth Speaker,Electronics,283,498403.52,44
2024-02-01,P1003,Power Bank,Electronics,76,136295.77,30
2024-02-01,P1004,USB-C Cable,Electronics,181,657696.37,42
2024-02-01,P1005,Laptop Stand,Electronics,413,1831106.34,48
2024-02-01,P1006,Webcam,Electronics,513,2240069.66,44
2024-02-01,P1007,Gaming Mouse,Electronics,376,1455789.93,45
2024-02-01,P1008,Mechanical Keyboard,Electronics,136,434182.27,40
2024-02-01,P1009,LED Monitor,Electronics,207,106146.57,41
2024-02-01,P1010,Men's T-Shirt,Fashion,221,196347.43,42
2024-02-01,P1011,Women's Kurti,Fashion,240,1066366.36,39
2024-02-01,P1012,Denim Jeans,Fashion,375,1136138.03,46
2024-02-01,P1013,Running Shoes,Fashion,463,68302.56,49
2024-02-01,P1014,Formal Shirt,Fashion,324,194083.24,40
2024-02-01,P1015,Winter Jacket,Fashion,155,515574.59,37
2024-02-01,P1016,Leather Wallet,Fashion,213,27250.89,42
2024-02-01,P1017,Sunglasses,Fashion,640,564385.65,45
2024-02-01,P1018,Backpack,Fashion,293,802618.42,44
2024-02-01,P1019,Sneakers,Fashion,176,608651.11,35
2024-02-01,P1020,Non-stick Pan,Home & Kitchen,215,702465.76,45
2024-02-01,P1021,Electric Kettle,Home & Kitchen,379,452667.77999999997,38
2024-02-01,P1022,Mixer Grinder,Home & Kitchen,138,491996.4,35
2024-02-01,P1023,LED Bulb Pack,Home & Kitchen,183,228749.2,41
2024-02-01,P1024,Storage Containers,Home & Kitchen,447,743736.62,45
2024-02-01,P1025,Bedsheet Set,Home & Kitchen,307,1147654.21,39
2024-02-01,P1026,Curtains,Home & Kitchen,248,800987.16,47
2024-02-01,P1027,Air Freshener,Home & Kitchen,418,1751359.54,41
2024-02-01,P1028,Vacuum Cleaner,Home & Kitchen,135,443854.65,37
2024-02-01,P1029,Table Lamp,Home & Kitchen,252,721337.3,46
2024-02-01,P1030,Face Wash,Beauty & Personal Care,295,165669.88,44
2024-02-01,P1031,Shampoo,Beauty & Personal Care,348,663230.54,46
2024-02-01,P1032,Body Lotion,Beauty & Personal Care,108,147055.87,34
2024-02-01,P1033,Perfume,Beauty & Personal Care,194,248939.24,37
2024-02-01,P1034,Hair Dryer,Beauty & Personal Care,235,1139132.2,42
2024-02-01,P1035,Trimmer,Beauty & Personal Care,392,787270.8,47
2024-02-01,P1036,Sunscreen,Beauty & Personal Care,316,1383830.42,46
2024-02-01,P1037,Lip Balm,Beauty & Personal Care,265,829529.24,44
2024-02-01,P1038,Face Mask Pack,Beauty & Personal Care,60,235934.29,26
2024-02-01,P1039,Hair Oil,Beauty & Personal Care,225,564078.8,45
2024-02-01,P1040,Basmati Rice 5kg,Grocery,312,908545.44,45
2024-02-01,P1041,Cooking Oil 1L,Grocery,953,2375667.93,46
2024-02-01,P1042,Green Tea Box,Grocery,243,254737.47,43
2024-02-01,P1043,Almonds 500g,Grocery,277,994306.73,40
2024-02-01,P1044,Instant Noodles Pack,Grocery,392,575332.04,42
2024-02-01,P1045,Coffee Powder,Grocery,417,94555.54000000001,43
2024-02-01,P1046,Honey Jar,Grocery,554,1781852.72,47
2024-02-01,P1047,Protein Bar Pack,Grocery,99,96592.73,33
2024-02-01,P1048,Peanut Butter,Grocery,130,600287.99,37
2024-02-01,P1049,Oats Pack,Grocery,218,1022628.13,44
2024-02-01,P1050,Yoga Mat,Sports & Fitness,58,264893.11,26
2024-02-01,P1051,Dumbbell Set,Sports & Fitness,241,455911.83,42
2024-02-01,P1052,Resistance Bands,Sports & Fitness,139,24483.48,39
2024-02-01,P1053,Skipping Rope,Sports & Fitness,540,2489441.49,43
2024-02-01,P1054,Cricket Bat,Sports & Fitness,149,321970.67,35
2024-02-01,P1055,Football,Sports & Fitness,244,1155414.22,38
2024-02-01,P1056,Water Bottle,Sports & Fitness,503,2386932.71,46
2024-02-01,P1057,Fitness Tracker Band,Sports & Fitness,101,425719.29,30
2024-02-01,P1058,Gym Gloves,Sports & Fitness,85,129415.81,33
2024-02-01,P1059,Badminton Racket,Sports & Fitness,245,485626.89,44
2024-03-01,P1000,Wireless Earbuds,Electronics,96,428633.75,35
2024-03-01,P1001,Smartwatch,Electronics,225,711998.2,45
2024-03-01,P1002,Bluetooth Speaker,Electronics,356,618050.8,47
2024-03-01,P1003,Power Bank,Electronics,80,142984.56,33
2024-03-01,P1004,USB-C Cable,Electronics,203,733045.49,44
2024-03-01,P1005,Laptop Stand,Electronics,479,2124208.23,45
2024-03-01,P1006,Webcam,Electronics,619,2734630.47,51
2024-03-01,P1007,Gaming Mouse,Electronics,544,2102426.74,45
2024-03-01,P1008,Mechanical Keyboard,Electronics,157,499610.13,49
2024-03-01,P1009,LED Monitor,Electronics,252,128862.46,50
2024-03-01,P1010,Men's T-Shirt,Fashion,245,216468.51,44
2024-03-01,P1011,Women's Kurti,Fashion,226,998241.51,37
2024-03-01,P1012,Denim Jeans,Fashion,436,1320506.35,48
2024-03-01,P1013,Running Shoes,Fashion,631,91757.56,47
2024-03-01,P1014,Formal Shirt,Fashion,367,221045.34,42
2024-03-01,P1015,Winter Jacket,Fashion,201,654402.9,39
2024-03-01,P1016,Leather Wallet,Fashion,257,32582.61,45
2024-03-01,P1017,Sunglasses,Fashion,662,582577.53,46
2024-03-01,P1018,Backpack,Fashion,279,766184.83,42
2024-03-01,P1019,Sneakers,Fashion,222,765001.87,45
2024-03-01,P1020,Non-stick Pan,Home & Kitchen,258,835456.97,48
2024-03-01,P1021,Electric Kettle,Home & Kitchen,371,444862.8,42
2024-03-01,P1022,Mixer Grinder,Home & Kitchen,155,549428.65,42
2024-03-01,P1023,LED Bulb Pack,Home & Kitchen,208,260547.77,39
2024-03-01,P1024,Storage Containers,Home & Kitchen,518,868440.6,44
2024-03-01,P1025,Bedsheet Set,Home & Kitchen,341,1259674.95,49
2024-03-01,P1026,Curtains,Home & Kitchen,373,1211958.49,48
2024-03-01,P1027,Air Freshener,Home & Kitchen,500,2122081.85,46
2024-03-01,P1028,Vacuum Cleaner,Home & Kitchen,174,572318.23,40
2024-03-01,P1029,Table Lamp,Home & Kitchen,266,758739.93,47
2024-03-01,P1030,Face Wash,Beauty & Personal Care,351,192838.59,48
2024-03-01,P1031,Shampoo,Beauty & Personal Care,379,703808.94,48
2024-03-01,P1032,Body Lotion,Beauty & Personal Care,128,177567.64,42
2024-03-01,P1033,Perfume,Beauty & Personal Care,209,264867.42,35
2024-03-01,P1034,Hair Dryer,Beauty & Personal Care,249,1195756.3699999999,39
2024-03-01,P1035,Trimmer,Beauty & Personal Care,407,821115.89,47
2024-03-01,P1036,Sunscreen,Beauty & Personal Care,311,1376421.2,50
2024-03-01,P1037,Lip Balm,Beauty & Personal Care,327,1038713.18,46
2024-03-01,P1038,Face Mask Pack,Beauty & Personal Care,71,280790.47,27
2024-03-01,P1039,Hair Oil,Beauty & Personal Care,308,780002.01,50
2024-03-01,P1040,Basmati Rice 5kg,Grocery,315,906941.1799999999,53
2024-03-01,P1041,Cooking Oil 1L,Grocery,1060,2602663.63,46
2024-03-01,P1042,Green Tea Box,Grocery,269,282075.0,41
2024-03-01,P1043,Almonds 500g,Grocery,299,1070954.16,41
2024-03-01,P1044,Instant Noodles Pack,Grocery,490,710729.32,52
2024-03-01,P1045,Coffee Powder,Grocery,440,99162.25,48
2024-03-01,P1046,Honey Jar,Grocery,593,1905317.03,50
2024-03-01,P1047,Protein Bar Pack,Grocery,89,85778.87,30
2024-03-01,P1048,Peanut Butter,Grocery,150,706594.49,42
2024-03-01,P1049,Oats Pack,Grocery,223,1040818.68,48
2024-03-01,P1050,Yoga Mat,Sports & Fitness,82,370129.85,35
2024-03-01,P1051,Dumbbell Set,Sports & Fitness,350,656997.49,48
2024-03-01,P1052,Resistance Bands,Sports & Fitness,156,27140.61,39
2024-03-01,P1053,Skipping Rope,Sports & Fitness,728,3316286.96,43
2024-03-01,P1054,Cricket Bat,Sports & Fitness,188,409378.37,45
2024-03-01,P1055,Football,Sports & Fitness,198,941038.76,40
2024-03-01,P1056,Water Bottle,Sports & Fitness,528,2483455.48,45
2024-03-01,P1057,Fitness Tracker Band,Sports & Fitness,133,557013.82,39
2024-03-01,P1058,Gym Gloves,Sports & Fitness,100,151919.34,35
2024-03-01,P1059,Badminton Racket,Sports & Fitness,329,653563.5,50
2024-04-01,P1000,Wireless Earbuds,Electronics,111,500301.53,37
2024-04-01,P1001,Smartwatch,Electronics,187,592369.95,39
2024-04-01,P1002,Bluetooth Speaker,Electronics,374,650860.82,44
2024-04-01,P1003,Power Bank,Electronics,63,112371.54000000001,27
2024-04-01,P1004,USB-C Cable,Electronics,190,687450.3300000001,46
2024-04-01,P1005,Laptop Stand,Electronics,520,2303408.9,44
2024-04-01,P1006,Webcam,Electronics,652,2837425.35,47
2024-04-01,P1007,Gaming Mouse,Electronics,593,2310464.95,43
2024-04-01,P1008,Mechanical Keyboard,Electronics,169,541816.24,40
2024-04-01,P1009,LED Monitor,Electronics,301,153725.32,41
2024-04-01,P1010,Men's T-Shirt,Fashion,227,201362.52,45
2024-04-01,P1011,Women's Kurti,Fashion,254,1119212.11,40
2024-04-01,P1012,Denim Jeans,Fashion,495,1504551.66,45
2024-04-01,P1013,Running Shoes,Fashion,571,84215.77,47
2024-04-01,P1014,Formal Shirt,Fashion,413,249793.0,48
2024-04-01,P1015,Winter Jacket,Fashion,220,729250.79,43
2024-04-01,P1016,Leather Wallet,Fashion,248,31749.51,46
2024-04-01,P1017,Sunglasses,Fashion,702,618594.02,46
2024-04-01,P1018,Backpack,Fashion,292,806869.68,43
2024-04-01,P1019,Sneakers,Fashion,197,677627.17,44
2024-04-01,P1020,Non-stick Pan,Home & Kitchen,259,846621.38,43
2024-04-01,P1021,Electric Kettle,Home & Kitchen,420,503919.51,43
2024-04-01,P1022,Mixer Grinder,Home & Kitchen,142,499300.0,39
2024-04-01,P1023,LED Bulb Pack,Home & Kitchen,186,230381.18,41
2024-04-01,P1024,Storage Containers,Home & Kitchen,468,783244.21,48
2024-04-01,P1025,Bedsheet Set,Home & Kitchen,385,1422730.5,41
2024-04-01,P1026,Curtains,Home & Kitchen,362,1167533.99,44
2024-04-01,P1027,Air Freshener,Home & Kitchen,539,2283381.11,42
2024-04-01,P1028,Vacuum Cleaner,Home & Kitchen,174,572873.69,38
2024-04-01,P1029,Table Lamp,Home & Kitchen,259,735507.15,42
2024-04-01,P1030,Face Wash,Beauty & Personal Care,378,214624.63,40
