product_id,product_name,category,total_quantity,total_revenue,number_of_orders,first_month_demand,last_month_demand,demand_change_percent,trend
P1022,Mixer Grinder,Home & Kitchen,3315,11753973.82,925,167,126,-24.550898203592812,Decreasing
P1023,LED Bulb Pack,Home & Kitchen,5059,6332425.46,1019,230,244,6.086956521739131,Stable
P1024,Storage Containers,Home & Kitchen,12109,20251003.16,1108,565,508,-10.08849557522124,Decreasing
P1025,Bedsheet Set,Home & Kitchen,8808,32699141.39,1050,329,360,9.422492401215806,Stable
P1026,Curtains,Home & Kitchen,9683,31394523.17,1110,313,500,59.7444089456869,Increasing
P1027,Air Freshener,Home & Kitchen,12516,52805658.97,1085,618,531,-14.077669902912621,Decreasing
P1028,Vacuum Cleaner,Home & Kitchen,4301,14085900.68,1009,145,191,31.724137931034484,Increasing
P1029,Table Lamp,Home & Kitchen,7174,20396010.42,1080,256,370,44.53125,Increasing
P1030,Face Wash,Beauty & Personal Care,8319,4661943.92,1058,391,368,-5.88235294117647,Stable
P1031,Shampoo,Beauty & Personal Care,10602,19939375.2,1087,350,564,61.142857142857146,Increasing
P1032,Body Lotion,Beauty & Personal Care,3254,4517264.58,937,112,177,58.03571428571429,Increasing
P1033,Perfume,Beauty & Personal Care,5350,6851605.91,956,230,204,-11.304347826086957,Decreasing
P1034,Hair Dryer,Beauty & Personal Care,6317,30348822.2,965,269,293,8.921933085501859,Stable
P1035,Trimmer,Beauty & Personal Care,9259,18631349.86,1089,320,413,29.062500000000004,Increasing
P1036,Sunscreen,Beauty & Personal Care,6764,29926810.62,1052,341,251,-26.392961876832842,Decreasing
P1037,Lip Balm,Beauty & Personal Care,8713,27448422.86,1060,296,483,63.17567567567568,Increasing
P1038,Face Mask Pack,Beauty & Personal Care,1796,7079312.37,718,75,65,-13.333333333333334,Decreasing
P1039,Hair Oil,Beauty & Personal Care,7020,17734897.78,1054,261,310,18.773946360153257,Increasing
P1040,Basmati Rice 5kg,Grocery,9250,26781624.09,1092,296,472,59.45945945945946,Increasing
P1041,Cooking Oil 1L,Grocery,26274,65301894.26,1122,1112,1189,6.924460431654676,Stable
P1042,Green Tea Box,Grocery,7956,8367653.05,1065,240,411,71.25,Increasing
P1043,Almonds 500g,Grocery,8560,30779495.42,1016,367,333,-9.264305177111716,Stable
P1044,Instant Noodles Pack,Grocery,11039,16034187.16,1087,624,367,-41.18589743589743,Decreasing
P1045,Coffee Powder,Grocery,10932,2468985.57,1082,476,506,6.302521008403361,Stable
P1046,Honey Jar,Grocery,12598,40482988.06,1101,700,384,-45.14285714285714,Decreasing
P1047,Protein Bar Pack,Grocery,2513,2430564.63,845,117,97,-17.094017094017094,Decreasing
P1048,Peanut Butter,Grocery,3486,16213276.16,945,149,168,12.751677852348994,Increasing
P1049,Oats Pack,Grocery,6249,29380165.03,1074,230,370,60.86956521739131,Increasing
P1050,Yoga Mat,Sports & Fitness,2252,10165915.08,755,98,107,9.183673469387756,Stable
P1051,Dumbbell Set,Sports & Fitness,7342,13844634.12,1075,300,308,2.666666666666667,Stable
P1052,Resistance Bands,Sports & Fitness,3650,642100.76,906,179,128,-28.49162011173184,Decreasing
P1053,Skipping Rope,Sports & Fitness,16885,77346147.63,1097,588,753,28.061224489795915,Increasing
P1054,Cricket Bat,Sports & Fitness,4102,8941955.49,992,163,168,3.067484662576687,Stable
P1055,Football,Sports & Fitness,5860,28013678.45,982,249,262,5.220883534136546,Stable
P1056,Water Bottle,Sports & Fitness,14768,70105880.54,1093,448,777,73.4375,Increasing
P1057,Fitness Tracker Band,Sports & Fitness,3632,15371962.97,971,148,207,39.86486486486486,Increasing
P1058,Gym Gloves,Sports & Fitness,2814,4291140.24,868,104,156,50.0,Increasing
P1059,Badminton Racket,Sports & Fitness,6346,12500287.9,1047,319,202,-36.677115987460816,Decreasing
