month,product_id,product_name,category,demand,revenue,number_of_orders,lag_1,lag_2,lag_3,rolling_mean_3,month_number
2025-02-01,P1001,Smartwatch,Electronics,180,570976.65,31,205.0,169.0,191.0,188.33333333333334,2
2025-03-01,P1001,Smartwatch,Electronics,142,447905.72,39,180.0,205.0,169.0,184.66666666666666,3
2025-04-01,P1001,Smartwatch,Electronics,126,394336.03,35,142.0,180.0,205.0,175.66666666666666,4
2025-05-01,P1001,Smartwatch,Electronics,189,598462.8200000001,38,126.0,142.0,180.0,149.33333333333334,5
2025-06-01,P1001,Smartwatch,Electronics,194,603796.74,37,189.0,126.0,142.0,152.33333333333334,6
2025-07-01,P1001,Smartwatch,Electronics,154,486375.25,32,194.0,189.0,126.0,169.66666666666666,7
2025-08-01,P1001,Smartwatch,Electronics,210,661508.74,38,154.0,194.0,189.0,179.0,8
2025-09-01,P1001,Smartwatch,Electronics,187,591925.29,38,210.0,154.0,194.0,186.0,9
2024-01-01,P1002,Bluetooth Speaker,Electronics,312,543009.14,45,290.0,250.0,298.0,279.3333333333333,1
2024-02-01,P1002,Bluetooth Speaker,Electronics,283,498403.52,44,312.0,290.0,250.0,284.0,2
2024-03-01,P1002,Bluetooth Speaker,Electronics,356,618050.8,47,283.0,312.0,290.0,295.0,3
2024-04-01,P1002,Bluetooth Speaker,Electronics,374,650860.82,44,356.0,283.0,312.0,317.0,4
2024-05-01,P1002,Bluetooth Speaker,Electronics,486,849698.5,45,374.0,356.0,283.0,337.6666666666667,5
2024-06-01,P1002,Bluetooth Speaker,Electronics,424,737711.31,47,486.0,374.0,356.0,405.3333333333333,6
2024-07-01,P1002,Bluetooth Speaker,Electronics,431,752340.92,41,424.0,486.0,374.0,428.0,7
2024-08-01,P1002,Bluetooth Speaker,Electronics,470,808082.5,48,431.0,424.0,486.0,447.0,8
2024-09-01,P1002,Bluetooth Speaker,Electronics,291,505679.26,49,470.0,431.0,424.0,441.6666666666667,9
2024-10-01,P1002,Bluetooth Speaker,Electronics,317,550816.88,45,291.0,470.0,431.0,397.3333333333333,10
2024-11-01,P1002,Bluetooth Speaker,Electronics,260,442873.57,45,317.0,291.0,470.0,359.3333333333333,11
2024-12-01,P1002,Bluetooth Speaker,Electronics,289,503048.16,47,260.0,317.0,291.0,289.3333333333333,12
2025-01-01,P1002,Bluetooth Speaker,Electronics,276,472640.51,49,289.0,260.0,317.0,288.6666666666667,1
2025-02-01,P1002,Bluetooth Speaker,Electronics,276,481114.6,36,276.0,289.0,260.0,275.0,2
2025-03-01,P1002,Bluetooth Speaker,Electronics,388,678410.67,46,276.0,276.0,289.0,280.3333333333333,3
2025-04-01,P1002,Bluetooth Speaker,Electronics,396,688359.11,42,388.0,276.0,276.0,313.3333333333333,4
2025-05-01,P1002,Bluetooth Speaker,Electronics,466,816573.35,46,396.0,388.0,276.0,353.3333333333333,5
2025-06-01,P1002,Bluetooth Speaker,Electronics,450,785197.99,46,466.0,396.0,388.0,416.6666666666667,6
2025-07-01,P1002,Bluetooth Speaker,Electronics,379,662515.21,43,450.0,466.0,396.0,437.3333333333333,7
2025-08-01,P1002,Bluetooth Speaker,Electronics,445,767692.12,45,379.0,450.0,466.0,431.6666666666667,8
2025-09-01,P1002,Bluetooth Speaker,Electronics,365,630982.49,49,445.0,379.0,450.0,424.6666666666667,9
2024-01-01,P1003,Power Bank,Electronics,105,186159.92,36,96.0,84.0,73.0,84.33333333333333,1
2024-02-01,P1003,Power Bank,Electronics,76,136295.77,30,105.0,96.0,84.0,95.0,2
2024-03-01,P1003,Power Bank,Electronics,80,142984.56,33,76.0,105.0,96.0,92.33333333333333,3
2024-04-01,P1003,Power Bank,Electronics,63,112371.54,27,80.0,76.0,105.0,87.0,4
2024-05-01,P1003,Power Bank,Electronics,90,158558.4,36,63.0,80.0,76.0,73.0,5
2024-06-01,P1003,Power Bank,Electronics,70,124842.76,33,90.0,63.0,80.0,77.66666666666667,6
2024-07-01,P1003,Power Bank,Electronics,77,136409.9,31,70.0,90.0,63.0,74.33333333333333,7
2024-08-01,P1003,Power Bank,Electronics,93,166184.85,34,77.0,70.0,90.0,79.0,8
2024-09-01,P1003,Power Bank,Electronics,92,165647.53,31,93.0,77.0,70.0,80.0,9
2024-10-01,P1003,Power Bank,Electronics,90,162309.19,32,92.0,93.0,77.0,87.33333333333333,10
2024-11-01,P1003,Power Bank,Electronics,75,135544.37,31,90.0,92.0,93.0,91.66666666666667,11
2024-12-01,P1003,Power Bank,Electronics,101,183973.85,34,75.0,90.0,92.0,85.66666666666667,12
2025-01-01,P1003,Power Bank,Electronics,80,143379.13,31,101.0,75.0,90.0,88.66666666666667,1
2025-02-01,P1003,Power Bank,Electronics,67,118969.51,27,80.0,101.0,75.0,85.33333333333333,2
2025-03-01,P1003,Power Bank,Electronics,76,134925.25,28,67.0,80.0,101.0,82.66666666666667,3
2025-04-01,P1003,Power Bank,Electronics,87,153935.84,28,76.0,67.0,80.0,74.33333333333333,4
2025-05-01,P1003,Power Bank,Electronics,76,137746.38,32,87.0,76.0,67.0,76.66666666666667,5
2025-06-01,P1003,Power Bank,Electronics,62,111471.88,29,76.0,87.0,76.0,79.66666666666667,6
2025-07-01,P1003,Power Bank,Electronics,91,161743.34,34,62.0,76.0,87.0,75.0,7
2025-08-01,P1003,Power Bank,Electronics,86,154046.9,32,91.0,62.0,76.0,76.33333333333333,8
2025-09-01,P1003,Power Bank,Electronics,95,170501.88,35,86.0,91.0,62.0,79.66666666666667,9
2024-01-01,P1004,USB-C Cable,Electronics,188,672880.9,46,231.0,205.0,201.0,212.33333333333334,1
2024-02-01,P1004,USB-C Cable,Electronics,181,657696.37,42,188.0,231.0,205.0,208.0,2
2024-03-01,P1004,USB-C Cable,Electronics,203,733045.49,44,181.0,188.0,231.0,200.0,3
2024-04-01,P1004,USB-C Cable,Electronics,190,687450.3300000001,46,203.0,181.0,188.0,190.66666666666666,4
2024-05-01,P1004,USB-C Cable,Electronics,202,727993.4400000001,42,190.0,203.0,181.0,191.33333333333334,5
2024-06-01,P1004,USB-C Cable,Electronics,209,752298.38,45,202.0,190.0,203.0,198.33333333333334,6
2024-07-01,P1004,USB-C Cable,Electronics,224,811232.05,50,209.0,202.0,190.0,200.33333333333334,7
2024-08-01,P1004,USB-C Cable,Electronics,244,887434.63,46,224.0,209.0,202.0,211.66666666666666,8
2024-09-01,P1004,USB-C Cable,Electronics,240,870260.54,47,244.0,224.0,209.0,225.66666666666666,9
2024-10-01,P1004,USB-C Cable,Electronics,231,844459.0,45,240.0,244.0,224.0,236.0,10
2024-11-01,P1004,USB-C Cable,Electronics,238,857342.75,52,231.0,240.0,244.0,238.33333333333334,11
2024-12-01,P1004,USB-C Cable,Electronics,267,971382.2,44,238.0,231.0,240.0,236.33333333333334,12
2025-01-01,P1004,USB-C Cable,Electronics,256,917423.0,45,267.0,238.0,231.0,245.33333333333334,1
2025-02-01,P1004,USB-C Cable,Electronics,249,896205.9400000001,36,256.0,267.0,238.0,253.66666666666666,2
2025-03-01,P1004,USB-C Cable,Electronics,258,942597.07,47,249.0,256.0,267.0,257.3333333333333,3
2025-04-01,P1004,USB-C Cable,Electronics,264,954985.1,41,258.0,249.0,256.0,254.33333333333334,4
2025-05-01,P1004,USB-C Cable,Electronics,251,898877.09,45,264.0,258.0,249.0,257.0,5
2025-06-01,P1004,USB-C Cable,Electronics,285,1029617.67,47,251.0,264.0,258.0,257.6666666666667,6
2025-07-01,P1004,USB-C Cable,Electronics,250,905954.82,46,285.0,251.0,264.0,266.6666666666667,7
2025-08-01,P1004,USB-C Cable,Electronics,301,1075496.75,47,250.0,285.0,251.0,262.0,8
2025-09-01,P1004,USB-C Cable,Electronics,339,1231071.31,46,301.0,250.0,285.0,278.6666666666667,9
2024-01-01,P1005,Laptop Stand,Electronics,446,1986539.24,50,430.0,469.0,428.0,442.3333333333333,1
2024-02-01,P1005,Laptop Stand,Electronics,413,1831106.34,48,446.0,430.0,469.0,448.3333333333333,2
2024-03-01,P1005,Laptop Stand,Electronics,479,2124208.23,45,413.0,446.0,430.0,429.6666666666667,3
2024-04-01,P1005,Laptop Stand,Electronics,520,2303408.9,44,479.0,413.0,446.0,446.0,4
2024-05-01,P1005,Laptop Stand,Electronics,524,2316394.65,48,520.0,479.0,413.0,470.6666666666667,5
2024-06-01,P1005,Laptop Stand,Electronics,513,2260436.52,46,524.0,520.0,479.0,507.6666666666667,6
2024-07-01,P1005,Laptop Stand,Electronics,531,2350080.0,50,513.0,524.0,520.0,519.0,7
2024-08-01,P1005,Laptop Stand,Electronics,559,2467961.96,46,531.0,513.0,524.0,522.6666666666666,8
2024-09-01,P1005,Laptop Stand,Electronics,500,2215120.21,41,559.0,531.0,513.0,534.3333333333334,9
2024-10-01,P1005,Laptop Stand,Electronics,549,2423200.09,49,500.0,559.0,531.0,530.0,10
2024-11-01,P1005,Laptop Stand,Electronics,574,2524581.89,49,549.0,500.0,559.0,536.0,11
2024-12-01,P1005,Laptop Stand,Electronics,621,2747962.36,48,574.0,549.0,500.0,541.0,12
2025-01-01,P1005,Laptop Stand,Electronics,609,2718893.08,47,621.0,574.0,549.0,581.3333333333334,1
2025-02-01,P1005,Laptop Stand,Electronics,493,2211762.8,42,609.0,621.0,574.0,601.3333333333334,2
2025-03-01,P1005,Laptop Stand,Electronics,556,2465252.88,46,493.0,609.0,621.0,574.3333333333334,3
2025-04-01,P1005,Laptop Stand,Electronics,615,2735968.99,45,556.0,493.0,609.0,552.6666666666666,4
2025-05-01,P1005,Laptop Stand,Electronics,698,3120956.88,49,615.0,556.0,493.0,554.6666666666666,5
2025-06-01,P1005,Laptop Stand,Electronics,696,3066441.92,42,698.0,615.0,556.0,623.0,6
2025-07-01,P1005,Laptop Stand,Electronics,643,2846026.06,42,696.0,698.0,615.0,669.6666666666666,7
2025-08-01,P1005,Laptop Stand,Electronics,681,3039462.88,51,643.0,696.0,698.0,679.0,8
2025-09-01,P1005,Laptop Stand,Electronics,643,2873542.41,45,681.0,643.0,696.0,673.3333333333334,9
2024-01-01,P1006,Webcam,Electronics,619,2744994.75,48,537.0,515.0,529.0,527.0,1
2024-02-01,P1006,Webcam,Electronics,513,2240069.66,44,619.0,537.0,515.0,557.0,2
2024-03-01,P1006,Webcam,Electronics,619,2734630.47,51,513.0,619.0,537.0,556.3333333333334,3
2024-04-01,P1006,Webcam,Electronics,652,2837425.35,47,619.0,513.0,619.0,583.6666666666666,4
2024-05-01,P1006,Webcam,Electronics,652,2871857.67,45,652.0,619.0,513.0,594.6666666666666,5
2024-06-01,P1006,Webcam,Electronics,738,3230506.56,41,652.0,652.0,619.0,641.0,6
2024-07-01,P1006,Webcam,Electronics,607,2637600.84,43,738.0,652.0,652.0,680.6666666666666,7
2024-08-01,P1006,Webcam,Electronics,661,2931550.7,45,607.0,738.0,652.0,665.6666666666666,8
2024-09-01,P1006,Webcam,Electronics,636,2796158.48,47,661.0,607.0,738.0,668.6666666666666,9
2024-10-01,P1006,Webcam,Electronics,653,2839474.63,47,636.0,661.0,607.0,634.6666666666666,10
2024-11-01,P1006,Webcam,Electronics,638,2805042.88,46,653.0,636.0,661.0,650.0,11
2024-12-01,P1006,Webcam,Electronics,772,3390466.75,49,638.0,653.0,636.0,642.3333333333334,12
2025-01-01,P1006,Webcam,Electronics,754,3289384.21,46,772.0,638.0,653.0,687.6666666666666,1
2025-02-01,P1006,Webcam,Electronics,623,2723046.75,46,754.0,772.0,638.0,721.3333333333334,2
2025-03-01,P1006,Webcam,Electronics,655,2857068.07,46,623.0,754.0,772.0,716.3333333333334,3
2025-04-01,P1006,Webcam,Electronics,765,3382009.61,48,655.0,623.0,754.0,677.3333333333334,4
2025-05-01,P1006,Webcam,Electronics,815,3560779.08,48,765.0,655.0,623.0,681.0,5
2025-06-01,P1006,Webcam,Electronics,733,3224414.12,46,815.0,765.0,655.0,745.0,6
2025-07-01,P1006,Webcam,Electronics,756,3336630.5300000003,47,733.0,815.0,765.0,771.0,7
2025-08-01,P1006,Webcam,Electronics,957,4141248.2,48,756.0,733.0,815.0,768.0,8
2025-09-01,P1006,Webcam,Electronics,814,3586786.63,45,957.0,756.0,733.0,815.3333333333334,9
2024-01-01,P1007,Gaming Mouse,Electronics,421,1604247.72,49,400.0,349.0,415.0,388.0,1
2024-02-01,P1007,Gaming Mouse,Electronics,376,1455789.93,45,421.0,400.0,349.0,390.0,2
2024-03-01,P1007,Gaming Mouse,Electronics,544,2102426.74,45,376.0,421.0,400.0,399.0,3
2024-04-01,P1007,Gaming Mouse,Electronics,593,2310464.95,43,544.0,376.0,421.0,447.0,4
2024-05-01,P1007,Gaming Mouse,Electronics,645,2489612.46,49,593.0,544.0,376.0,504.3333333333333,5
2024-06-01,P1007,Gaming Mouse,Electronics,625,2386387.36,43,645.0,593.0,544.0,594.0,6
2024-07-01,P1007,Gaming Mouse,Electronics,547,2124523.71,45,625.0,645.0,593.0,621.0,7
2024-08-01,P1007,Gaming Mouse,Electronics,603,2312570.66,53,547.0,625.0,645.0,605.6666666666666,8
2024-09-01,P1007,Gaming Mouse,Electronics,417,1633085.13,42,603.0,547.0,625.0,591.6666666666666,9
2024-10-01,P1007,Gaming Mouse,Electronics,511,1989661.07,43,417.0,603.0,547.0,522.3333333333334,10
2024-11-01,P1007,Gaming Mouse,Electronics,385,1508039.24,40,511.0,417.0,603.0,510.3333333333333,11
2024-12-01,P1007,Gaming Mouse,Electronics,476,1853966.92,48,385.0,511.0,417.0,437.6666666666667,12
2025-01-01,P1007,Gaming Mouse,Electronics,416,1625638.87,44,476.0,385.0,511.0,457.3333333333333,1
2025-02-01,P1007,Gaming Mouse,Electronics,389,1503399.43,42,416.0,476.0,385.0,425.6666666666667,2
2025-03-01,P1007,Gaming Mouse,Electronics,467,1795235.2,49,389.0,416.0,476.0,427.0,3
2025-04-01,P1007,Gaming Mouse,Electronics,615,2396140.32,46,467.0,389.0,416.0,424.0,4
2025-05-01,P1007,Gaming Mouse,Electronics,623,2414530.93,41,615.0,467.0,389.0,490.3333333333333,5
2025-06-01,P1007,Gaming Mouse,Electronics,545,2087545.32,41,623.0,615.0,467.0,568.3333333333334,6
2025-07-01,P1007,Gaming Mouse,Electronics,547,2109260.02,51,545.0,623.0,615.0,594.3333333333334,7
2025-08-01,P1007,Gaming Mouse,Electronics,552,2140149.63,45,547.0,545.0,623.0,571.6666666666666,8
2025-09-01,P1007,Gaming Mouse,Electronics,480,1865487.66,44,552.0,547.0,545.0,548.0,9
2024-01-01,P1008,Mechanical Keyboard,Electronics,168,540139.59,39,176.0,164.0,165.0,168.33333333333334,1
2024-02-01,P1008,Mechanical Keyboard,Electronics,136,434182.27,40,168.0,176.0,164.0,169.33333333333334,2
2024-03-01,P1008,Mechanical Keyboard,Electronics,157,499610.13,49,136.0,168.0,176.0,160.0,3
2024-04-01,P1008,Mechanical Keyboard,Electronics,169,541816.24,40,157.0,136.0,168.0,153.66666666666666,4
2024-05-01,P1008,Mechanical Keyboard,Electronics,174,550582.87,46,169.0,157.0,136.0,154.0,5
2024-06-01,P1008,Mechanical Keyboard,Electronics,179,579672.78,41,174.0,169.0,157.0,166.66666666666666,6
2024-07-01,P1008,Mechanical Keyboard,Electronics,168,543895.07,41,179.0,174.0,169.0,174.0,7
2024-08-01,P1008,Mechanical Keyboard,Electronics,186,594984.01,39,168.0,179.0,174.0,173.66666666666666,8
2024-09-01,P1008,Mechanical Keyboard,Electronics,168,541970.67,36,186.0,168.0,179.0,177.66666666666666,9
2024-10-01,P1008,Mechanical Keyboard,Electronics,172,549325.18,41,168.0,186.0,168.0,174.0,10
2024-11-01,P1008,Mechanical Keyboard,Electronics,159,505217.12,38,172.0,168.0,186.0,175.33333333333334,11
2024-12-01,P1008,Mechanical Keyboard,Electronics,172,558697.1,35,159.0,172.0,168.0,166.33333333333334,12
2025-01-01,P1008,Mechanical Keyboard,Electronics,131,423368.04,41,172.0,159.0,172.0,167.66666666666666,1
2025-02-01,P1008,Mechanical Keyboard,Electronics,149,483073.93,40,131.0,172.0,159.0,154.0,2
2025-03-01,P1008,Mechanical Keyboard,Electronics,159,519197.04,41,149.0,131.0,172.0,150.66666666666666,3
2025-04-01,P1008,Mechanical Keyboard,Electronics,173,558208.37,41,159.0,149.0,131.0,146.33333333333334,4
2025-05-01,P1008,Mechanical Keyboard,Electronics,166,532245.51,46,173.0,159.0,149.0,160.33333333333334,5
2025-06-01,P1008,Mechanical Keyboard,Electronics,149,476059.12,43,166.0,173.0,159.0,166.0,6
2025-07-01,P1008,Mechanical Keyboard,Electronics,170,540394.79,45,149.0,166.0,173.0,162.66666666666666,7
2025-08-01,P1008,Mechanical Keyboard,Electronics,206,666099.46,42,170.0,149.0,166.0,161.66666666666666,8
2025-09-01,P1008,Mechanical Keyboard,Electronics,203,655680.72,39,206.0,170.0,149.0,175.0,9
2024-01-01,P1009,LED Monitor,Electronics,201,102549.62,44,226.0,208.0,201.0,211.66666666666666,1
2024-02-01,P1009,LED Monitor,Electronics,207,106146.57,41,201.0,226.0,208.0,211.66666666666666,2
2024-03-01,P1009,LED Monitor,Electronics,252,128862.46,50,207.0,201.0,226.0,211.33333333333334,3
2024-04-01,P1009,LED Monitor,Electronics,301,153725.32,41,252.0,207.0,201.0,220.0,4
2024-05-01,P1009,LED Monitor,Electronics,254,129680.78,46,301.0,252.0,207.0,253.33333333333334,5
2024-06-01,P1009,LED Monitor,Electronics,302,154056.52,45,254.0,301.0,252.0,269.0,6
2024-07-01,P1009,LED Monitor,Electronics,278,141485.55,44,302.0,254.0,301.0,285.6666666666667,7
2024-08-01,P1009,LED Monitor,Electronics,284,145125.02,48,278.0,302.0,254.0,278.0,8
2024-09-01,P1009,LED Monitor,Electronics,205,105852.15,44,284.0,278.0,302.0,288.0,9
2024-10-01,P1009,LED Monitor,Electronics,191,98311.08,41,205.0,284.0,278.0,255.66666666666666,10
2024-11-01,P1009,LED Monitor,Electronics,186,94905.67,34,191.0,205.0,284.0,226.66666666666666,11
2024-12-01,P1009,LED Monitor,Electronics,179,92585.09,35,186.0,191.0,205.0,194.0,12
2025-01-01,P1009,LED Monitor,Electronics,215,108401.54,45,179.0,186.0,191.0,185.33333333333334,1
2025-02-01,P1009,LED Monitor,Electronics,183,92740.79,38,215.0,179.0,186.0,193.33333333333334,2
2025-03-01,P1009,LED Monitor,Electronics,258,131645.44,42,183.0,215.0,179.0,192.33333333333334,3
2025-04-01,P1009,LED Monitor,Electronics,237,121657.52,42,258.0,183.0,215.0,218.66666666666666,4
2025-05-01,P1009,LED Monitor,Electronics,300,153535.41,38,237.0,258.0,183.0,226.0,5
2025-06-01,P1009,LED Monitor,Electronics,291,148581.21,44,300.0,237.0,258.0,265.0,6
2025-07-01,P1009,LED Monitor,Electronics,287,147369.05,46,291.0,300.0,237.0,276.0,7
2025-08-01,P1009,LED Monitor,Electronics,259,131817.24,48,287.0,291.0,300.0,292.6666666666667,8
2025-09-01,P1009,LED Monitor,Electronics,255,130776.26,43,259.0,287.0,291.0,279.0,9
2024-01-01,P1010,Men's T-Shirt,Fashion,250,220537.02,43,264.0,209.0,225.0,232.66666666666666,1
2024-02-01,P1010,Men's T-Shirt,Fashion,221,196347.43,42,250.0,264.0,209.0,241.0,2
2024-03-01,P1010,Men's T-Shirt,Fashion,245,216468.51,44,221.0,250.0,264.0,245.0,3
2024-04-01,P1010,Men's T-Shirt,Fashion,227,201362.52,45,245.0,221.0,250.0,238.66666666666666,4
2024-05-01,P1010,Men's T-Shirt,Fashion,222,196798.9,44,227.0,245.0,221.0,231.0,5
2024-06-01,P1010,Men's T-Shirt,Fashion,259,227363.3,48,222.0,227.0,245.0,231.33333333333334,6
2024-07-01,P1010,Men's T-Shirt,Fashion,239,211824.09,46,259.0,222.0,227.0,236.0,7
2024-08-01,P1010,Men's T-Shirt,Fashion,291,256041.0,53,239.0,259.0,222.0,240.0,8
2024-09-01,P1010,Men's T-Shirt,Fashion,292,254819.77,42,291.0,239.0,259.0,263.0,9
2024-10-01,P1010,Men's T-Shirt,Fashion,307,273542.57,48,292.0,291.0,239.0,274.0,10
2024-11-01,P1010,Men's T-Shirt,Fashion,289,255232.44,42,307.0,292.0,291.0,296.6666666666667,11
2024-12-01,P1010,Men's T-Shirt,Fashion,292,256569.91,43,289.0,307.0,292.0,296.0,12
2025-01-01,P1010,Men's T-Shirt,Fashion,314,279510.54,47,292.0,289.0,307.0,296.0,1
2025-02-01,P1010,Men's T-Shirt,Fashion,260,229093.03,46,314.0,292.0,289.0,298.3333333333333,2
2025-03-01,P1010,Men's T-Shirt,Fashion,318,280849.82,42,260.0,314.0,292.0,288.6666666666667,3
2025-04-01,P1010,Men's T-Shirt,Fashion,307,269851.29,42,318.0,260.0,314.0,297.3333333333333,4
2025-05-01,P1010,Men's T-Shirt,Fashion,356,315798.68,40,307.0,318.0,260.0,295.0,5
2025-06-01,P1010,Men's T-Shirt,Fashion,302,269649.86,47,356.0,307.0,318.0,327.0,6
2025-07-01,P1010,Men's T-Shirt,Fashion,358,317556.2,43,302.0,356.0,307.0,321.6666666666667,7
2025-08-01,P1010,Men's T-Shirt,Fashion,362,320795.16,50,358.0,302.0,356.0,338.6666666666667,8
2025-09-01,P1010,Men's T-Shirt,Fashion,340,302792.0,44,362.0,358.0,302.0,340.6666666666667,9
2024-01-01,P1011,Women's Kurti,Fashion,208,925634.36,36,248.0,223.0,332.0,267.6666666666667,1
2024-02-01,P1011,Women's Kurti,Fashion,240,1066366.36,39,208.0,248.0,223.0,226.33333333333334,2
2024-03-01,P1011,Women's Kurti,Fashion,226,998241.51,37,240.0,208.0,248.0,232.0,3
2024-04-01,P1011,Women's Kurti,Fashion,254,1119212.11,40,226.0,240.0,208.0,224.66666666666666,4
2024-05-01,P1011,Women's Kurti,Fashion,276,1224592.67,40,254.0,226.0,240.0,240.0,5
2024-06-01,P1011,Women's Kurti,Fashion,235,1042886.58,36,276.0,254.0,226.0,252.0,6
2024-07-01,P1011,Women's Kurti,Fashion,258,1151568.41,43,235.0,276.0,254.0,255.0,7
2024-08-01,P1011,Women's Kurti,Fashion,306,1356189.57,36,258.0,235.0,276.0,256.3333333333333,8
2024-09-01,P1011,Women's Kurti,Fashion,234,1039407.25,39,306.0,258.0,235.0,266.3333333333333,9
2024-10-01,P1011,Women's Kurti,Fashion,343,1531825.57,43,234.0,306.0,258.0,266.0,10
2024-11-01,P1011,Women's Kurti,Fashion,294,1313691.52,33,343.0,234.0,306.0,294.3333333333333,11
2024-12-01,P1011,Women's Kurti,Fashion,277,1229672.2,40,294.0,343.0,234.0,290.3333333333333,12
2025-01-01,P1011,Women's Kurti,Fashion,227,1016691.66,42,277.0,294.0,343.0,304.6666666666667,1
2025-02-01,P1011,Women's Kurti,Fashion,170,751386.82,33,227.0,277.0,294.0,266.0,2
2025-03-01,P1011,Women's Kurti,Fashion,272,1202979.58,40,170.0,227.0,277.0,224.66666666666666,3
2025-04-01,P1011,Women's Kurti,Fashion,232,1028109.72,39,272.0,170.0,227.0,223.0,4
2025-05-01,P1011,Women's Kurti,Fashion,274,1209910.54,48,232.0,272.0,170.0,224.66666666666666,5
2025-06-01,P1011,Women's Kurti,Fashion,277,1237562.31,38,274.0,232.0,272.0,259.3333333333333,6
2025-07-01,P1011,Women's Kurti,Fashion,252,1116194.12,40,277.0,274.0,232.0,261.0,7
2025-08-01,P1011,Women's Kurti,Fashion,235,1041678.62,44,252.0,277.0,274.0,267.6666666666667,8
2025-09-01,P1011,Women's Kurti,Fashion,248,1109011.3,39,235.0,252.0,277.0,254.66666666666666,9
2024-01-01,P1012,Denim Jeans,Fashion,348,1055724.54,46,393.0,376.0,431.0,400.0,1
2024-02-01,P1012,Denim Jeans,Fashion,375,1136138.03,46,348.0,393.0,376.0,372.3333333333333,2
2024-03-01,P1012,Denim Jeans,Fashion,436,1320506.35,48,375.0,348.0,393.0,372.0,3
